eng,sim,tra
"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.",不过，一位知情人士向《明尼阿波利斯星坛报》透露，凶手是红湖部落（Red Lake Tribal）主席弗洛伊德·乔丹（Floyd Jourdain）之子，16 岁的路易斯·乔丹（Louis Jourdain）。,然而，有關此調查的可靠消息來源向明尼蘇達州的《明星論壇報》透露，那其實是路易·喬丹，他是紅湖部落酋長弗洛伊德·喬丹的 16 歲兒子。
It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,目前既不知道将会被指控何种罪名，也不知道当局是如何认定这个男孩有犯罪嫌疑的，但联邦法院已经开始进行少年犯诉讼程序。,目前尚不知道會提出什麼樣的指控，或使有關當局找上那名男孩的原因，但聯邦法院已開始進行少年訴訟程序。
Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,洛丁（Lodin）还表示，官员们决定取消第二轮选举，是为了给阿富汗人节省再次选举的开支，同时避免选举的安全风险。,羅汀還說，官方決定取消第兩輪決選，以為阿富汗節省經費並避免再次選舉產生的安全風險。
Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,外交官们表示在阿富汗宪法中发现了足够多的歧义，因此没有必要举办决胜选举。,外交人員說他們已在阿富汗憲法中找到足夠的歧義，因此決定沒有必要進行決選投票。
"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.",这与先前的报道相矛盾，先前的报道称取消决选本来是违反宪法的。,這與之前的報告互相矛盾，後者曾表示取消第二輪選舉將違反憲法。
The aircraft had been headed to Irkutsk and was being operated by interior troops.,飞机是飞往伊尔库茨克（Irkutsk）的，并且由内政部队负责驾驶。,飛機原定由內務部內衛部隊駕駛飛往伊爾庫次克。
An inquiry was established to investigate.,已经展开调查。,一支調查小組奉命成立。
"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",伊尔-76 自 20 世纪 70 年代以来，一直是俄罗斯和苏联军队的主要组成部分，上个月在俄罗斯已经发生过一起严重事故。,伊爾-76 自 1970 年代起即為俄羅斯及蘇聯軍事重要的一部分，上個月已經在俄羅斯發生一起重大事故。
"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.",10 月 7 日，一台发动机在飞机起飞时脱离，未造成人员伤亡。该事故后，俄罗斯短暂停飞了伊尔-76。,10 月 7 日，一架引擎在起飛時脫落，無人受傷。事故發生後，俄羅斯短暫停飛了 Il-76。
"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",在阿拉斯加费尔班克斯（Fairbanks）南部发生数千桶原油泄漏后，横贯阿拉斯加、长达800英里的输油管道系统被关闭。,數千桶原油在阿拉斯加費爾班克斯以南外漏之後， 800 英里的縱貫阿拉斯加管道遭到關閉。
A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,消防指挥系统的例行测试引发了一场电力故障，故障使得安全阀开启，导致原油于格里利堡（Fort Greely）第 9 泵站附近溢出。,斷電之後，隨之而來的是常規的火災指揮系統測試，導致放洩閥開啟，使原油流洩到附近的格里利堡 9 號泵站。
"The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).",阀门打开后，系统将释放压力，原油可通过油垫流入一个可容纳 55000 桶（230 万加仑）原油的油箱。,"開啟的閥門導致系統壓力釋放，原油則自能儲存 55,000 桶（230 萬加侖）的油槽溢出至輸送平台。"
"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.",截至周三下午，油箱的排气口仍在漏油，这很可能是由油箱内部的热膨胀造成的。,截至週三下午，油槽排氣孔仍在漏油，可能是油槽內部的熱膨脹所致。
"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.","在容积为 104,500 桶的蓄水池的下面，另一个二级防泄漏围护区还没有完全填满。","油槽下方有另一個能容納 104,500 桶的第二攔油區，目前尚未裝滿。"
"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.",这次电视直播是伊朗高层消息人士首次承认制裁产生的影响正在显现。,在電視上直播的評論中，伊朗高層消息來源首次承認制裁有產生影響。
"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.",这些措施包括金融限制和欧盟对原油出口的禁令，而伊朗经济有 80% 的国外收入来自原油出口。,其中包含了金融限制，以及禁止原油出口至歐盟，後者佔伊朗經濟中國外收益的 80%。
"In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day.",在最新一期的月报中，石油输出国组织声称原油出口已经跌到了二十年来的最低水平，仅为一天 280 万桶。,在最近一期的月報中，石油輸出國組織表示原油的出口降到了 20 年來的新低，一天只有 280 萬桶。
"The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as ""a trap"" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.",伊朗最高领袖阿亚图拉·赛义德·阿里·哈梅内伊（Ayatollah Ali Khamenei）称，伊朗对石油的依赖是可追溯到1979年伊朗伊斯兰革命之前的“一个陷阱”，伊朗应该摆脱这个陷阱。,該國最高領袖大阿亞圖拉賽義德阿里·哈米尼曾形容，對石油的依賴是一個早在 1979 年伊朗伊斯蘭革命之前就出現的「陷阱」，而伊朗應該從中解放出來。
"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.",太空舱大约会在早上 5 点（东部时间）到达地球，并进入大气层，为北加州、俄勒冈州、内华达州和犹他州的居民上演一场精彩的焰火秀。,當太空艙在大約凌晨 5 點 (美東時間) 抵達地球並進入大氣層時，預計將會為北加州、奧瑞岡州、內華達州和猶他州居民上演一場精采燈光秀。
The capsule will look much like a shooting star going across the sky.,太空舱看起来很像划过天空的流星。,太空艙會像流星一樣劃過天際。
"The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute.",太空舱将以每秒约 12.8 公里（8 英里）的速度飞行，速度之快，足以在一分钟内从旧金山飞到洛杉矶。,太空艙以每秒 12.8 公里或 8 英里的速率前進，這個速度足以在一分鐘內從舊金山抵達洛杉磯。
"Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.",星尘号将打破 1969 年 5 月阿波罗 X 指令舱返回地球时创下的纪录，并创下空前的新纪录，成为返回地球最快的太空飞船。,星塵號將是最快返回地球的太空船並因而創下新的歷史紀錄，打破 1969 年 5 月阿波羅 10 號指揮艙返航時所創的舊紀錄。
"“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.",星尘号的项目经理汤姆·达克斯伯里 (Tom Duxbury) 说：“它将穿过北加州西海岸，从加州穿过俄勒冈州中部，然后穿过内华达州和爱达荷州，然后进入犹他州，照亮这些地方的天空。”,Stardust 專案經理湯姆．達克斯伯里 (Tom Duxbury) 表示：「它將飛越北加州的西海岸，照亮從加州到俄勒岡州中部，再經由內華達州及愛達荷州直到猶他州的天空。」
"Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.",陆克文先生决定签署《京都气候议定书》，这使得美国成为唯一没有签署该协议的发达国家。,陸克文簽署京都氣候協定的決定將美國置於孤立之境，現在美國將是唯一沒有批准該協議的已開發國家。
"Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets.",澳大利亚前保守党政府拒绝签署《京都议定书》，声称由于澳大利亚严重依赖煤炭出口，该协议会削弱澳大利亚的经济，而印度和中国等国却未受排放目标的约束。,澳洲前保守派政府拒絕批准《京都議定書》，聲稱其會對高度依賴煤炭出口的經濟造成損害，而印度和中國等國卻不受碳排放指標的約束。
